SequencesName,Daily_SIF_757nm,latitude,longitude,datetime,MeasurementMode,SimplyGoodOrBadQualityFlag,tag,location_1,city_country,country,city
b'fossil_Rome_Italy',-0.095659256,41.21575928,14.2824707,2/14/22 13:25,b'AM',0,b'fossil,Rome_Italy',Rome_Italy,Italy,Rome
b'fossil_Rotterdam_Netherlands',0.24258709,51.98901367,4.53515625,4/16/22 10:15,b'AM',0,b'fossil,Rotterdam_Netherlands',Rotterdam_Netherlands,Netherlands,Rotterdam
b'fossil_San_Cristobal_Dominican_Republic',0.304071426,18.390625,-70.91851807,3/25/22 19:35,b'AM',0,b'fossil,San_Cristobal_Dominican_Republic',San_Cristobal_Dominican_Republic,Dominican_Republic,San_Cristobal
b'fossil_San_Francisco_USA',0.187738419,37.46502686,-122.1594849,8/6/22 19:21,b'AM',0,b'fossil,San_Francisco_USA',San_Francisco_USA,USA,San_Francisco
b'fossil_Santiago_Chile',-0.078930855,-33.21661377,-70.34997559,11/7/22 14:45,b'AM',0,b'fossil,Santiago_Chile',Santiago_Chile,Chile,Santiago
b'fossil_Sao_Paulo_Brazil',0.503272057,-22.87750244,-46.63433838,11/13/22 9:58,b'AM',0,b'fossil,Sao_Paulo_Brazil',Sao_Paulo_Brazil,Brazil,Sao_Paulo
b'fossil_Seattle_USA',0.136348724,47.95471191,-121.8088989,10/13/22 21:30,b'AM',0,b'fossil,Seattle_USA',Seattle_USA,USA,Seattle
b'fossil_Seoul_South_Korea',-0.00596714,37.77746582,126.835083,2/5/22 3:10,b'AM',0,b'fossil,Seoul_South_Korea',Seoul_South_Korea,South_Korea,Seoul
b'fossil_Shah_Alam_Malaysia',0.394216537,3.340881348,101.7778931,3/2/22 4:10,b'AM',0,b'fossil,Shah_Alam_Malaysia',Shah_Alam_Malaysia,Malaysia,Shah_Alam
b'fossil_Singapore_Singapore',0.328440666,1.732971191,103.5264893,1/22/22 7:45,b'AM',0,b'fossil,Singapore_Singapore',Singapore_Singapore,Singapore,Singapore
b'fossil_Sohag_Egypt',-0.001918793,26.78057861,32.13861084,2/14/22 13:31,b'AM',0,b'fossil,Sohag_Egypt',Sohag_Egypt,Egypt,Sohag
b'fossil_St_Louis_USA',0.272263527,38.32788086,-90.44122314,9/29/22 19:54,b'AM',0,b'fossil,St_Louis_USA',St_Louis_USA,USA,St_Louis
b'fossil_Toronto_Canada',0.21723032,43.98623657,-80.14907837,9/29/22 19:57,b'AM',0,b'fossil,Toronto_Canada',Toronto_Canada,Canada,Toronto
b'fossil_Urumqi_China',0.127524376,43.84399414,87.8949585,8/30/22 2:10,b'AM',0,b'fossil,Urumqi_China',Urumqi_China,China,Urumqi
