target_name,xco2,latitude,longitude,datetime,tag,location_1,city_country,country,city
b'fossil_Janschwalde_Germany',408.3946838,51.68371402,13.69324291,6/12/20 12:30,b'fossil,Janschwalde_Germany',Janschwalde_Germany,Germany,Janschwalde
b'fossil_Jeddah_Saudi_Arabia',413.7063141,21.48097461,39.36300953,5/23/20 13:55,b'fossil,Jeddah_Saudi_Arabia',Jeddah_Saudi_Arabia,Saudi_Arabia,Jeddah
b'fossil_Jinan_China',415.9244232,36.69725581,116.9038158,4/17/20 0:15,b'fossil,Jinan_China',Jinan_China,China,Jinan
b'fossil_Johannesburg_South_Africa',411.4302979,-25.97040036,27.84822905,11/13/20 6:12,b'fossil,Johannesburg_South_Africa',Johannesburg_South_Africa,South_Africa,Johannesburg
b'fossil_Kansas_City_USA',414.9155579,39.2964261,-94.93229691,2/17/20 20:45,b'fossil,Kansas_City_USA',Kansas_City_USA,USA,Kansas_City
b'fossil_Kaoshsiung_Taiwan',414.6784973,22.75202734,120.4480523,1/3/20 1:45,b'fossil,Kaoshsiung_Taiwan',Kaoshsiung_Taiwan,Taiwan,Kaoshsiung
b'fossil_Karachi_Pakistan',411.4547424,25.16929771,67.05219324,5/27/20 10:49,b'fossil,Karachi_Pakistan',Karachi_Pakistan,Pakistan,Karachi
b'fossil_Katowice_Poland',408.4464111,50.17562041,18.28336825,8/5/20 15:16,b'fossil,Katowice_Poland',Katowice_Poland,Poland,Katowice
b'fossil_Khartoum_Sudan',412.7289124,15.1484667,32.27936007,3/25/20 13:13,b'fossil,Khartoum_Sudan',Khartoum_Sudan,Sudan,Khartoum
b'fossil_Kolkata_India',414.6484375,22.73692069,88.26487505,8/19/20 9:17,b'fossil,Kolkata_India',Kolkata_India,India,Kolkata
b'fossil_Lagos_Nigeria',413.4761353,6.549040409,3.424598493,5/23/20 15:23,b'fossil,Lagos_Nigeria',Lagos_Nigeria,Nigeria,Lagos
b'fossil_Lahore_Pakistan',415.6995544,31.32805358,74.45895356,5/27/20 10:51,b'fossil,Lahore_Pakistan',Lahore_Pakistan,Pakistan,Lahore
b'fossil_Las_Vegas_USA',413.5511475,36.21217765,-115.4365969,2/17/20 22:18,b'fossil,Las_Vegas_USA',Las_Vegas_USA,USA,Las_Vegas
b'fossil_Lima_Peru',410.7241211,-11.975013,-76.93527116,1/9/20 14:17,b'fossil,Lima_Peru',Lima_Peru,Peru,Lima
b'fossil_London_UK',410.7641602,51.30360879,-0.863492561,6/5/20 16:25,b'fossil,London_UK',London_UK,UK,London
b'fossil_Los_Angeles_USA',414.2945557,34.2900018,-118.4843393,2/24/20 19:59,b'fossil,Los_Angeles_USA',Los_Angeles_USA,USA,Los_Angeles
